scope	unit	array	gene	n_spots	n_detected	detection_fraction	mean_log1p_cp10k
biopsy	UQ_B23	VLP120_D	TIMP2	620	333	0.5370967741935484	0.5219063275730113
biopsy	UQ_B24	VLP120_D	SERPINE1	608	44	0.07236842105263158	0.09990720159279645
biopsy	UQ_B24	VLP120_D	SPON1	608	10	0.01644736842105263	0.019353753048401746
biopsy	UQ_B24	VLP120_D	ITGAV	608	63	0.10361842105263158	0.13732946023122272
biopsy	UQ_B24	VLP120_D	ITGB5	608	162	0.26644736842105265	0.36811144553533015
biopsy	UQ_B24	VLP120_D	MMP2	608	42	0.06907894736842106	0.08942259083482615
biopsy	UQ_B24	VLP120_D	MMP9	608	6	0.009868421052631578	0.013012209306645824
biopsy	UQ_B24	VLP120_D	MMP14	608	41	0.06743421052631579	0.09122859983840784
biopsy	UQ_B24	VLP120_D	PLAU	608	11	0.018092105263157895	0.02647924652569656
biopsy	UQ_B24	VLP120_D	PLAT	608	14	0.023026315789473683	0.023568951696564554
biopsy	UQ_B24	VLP120_D	TIMP1	608	273	0.44901315789473684	0.7105066358959323
biopsy	UQ_B24	VLP120_D	TIMP2	608	144	0.23684210526315788	0.33190236133544293
biopsy	UQ_B25	VLP121_A	SERPINE1	334	17	0.05089820359281437	0.04145807901200085
biopsy	UQ_B25	VLP121_A	SPON1	334	10	0.029940119760479042	0.02480603852883233
biopsy	UQ_B25	VLP121_A	ITGAV	334	53	0.15868263473053892	0.11926923598672716
biopsy	UQ_B25	VLP121_A	ITGB5	334	104	0.31137724550898205	0.24891501662700558
biopsy	UQ_B25	VLP121_A	MMP2	334	55	0.16467065868263472	0.1428817452079617
biopsy	UQ_B25	VLP121_A	MMP9	334	3	0.008982035928143712	0.004928412739427066
biopsy	UQ_B25	VLP121_A	MMP14	334	49	0.1467065868263473	0.11190290530040276
biopsy	UQ_B25	VLP121_A	PLAU	334	4	0.011976047904191617	0.010289051071686246
biopsy	UQ_B25	VLP121_A	PLAT	334	18	0.05389221556886228	0.03852165487634766
biopsy	UQ_B25	VLP121_A	TIMP1	334	221	0.6616766467065869	0.6477993050924375
biopsy	UQ_B25	VLP121_A	TIMP2	334	76	0.2275449101796407	0.1739188832651489
biopsy	UQ_B26	VLP121_A	SERPINE1	465	86	0.18494623655913978	0.13794384208075525
biopsy	UQ_B26	VLP121_A	SPON1	465	65	0.13978494623655913	0.09340757002927495
biopsy	UQ_B26	VLP121_A	ITGAV	465	140	0.3010752688172043	0.22860984133735684
biopsy	UQ_B26	VLP121_A	ITGB5	465	247	0.5311827956989247	0.409642484583738
biopsy	UQ_B26	VLP121_A	MMP2	465	198	0.4258064516129032	0.39299266833585283
