gene_upper	metadata_logFC	metadata_PValue	metadata_FDR	supplement_swap_logFC	supplement_swap_PValue	supplement_swap_FDR	author_AvsQ_ATAC_logFC	author_MASH_ATAC_logFC	author_AvsQ_RNA_logFC	author_MASH_RNA_logFC	author_sum_sig	mouse_progression_logFC	mouse_progression_FDR	mouse_regression_logFC	mouse_regression_FDR	mouse_residual_logFC	mouse_residual_FDR	mouse_fate	human_positive_both	human_nominal_both	human_fdr_any_010	author_four_way	mouse_positive_residual	mouse_persistent	cross_species_direction	functional_support	evidence_score	classification
FOXP1	0.243306259317284	0.243682346653987	0.642250060235767	0.160018942493308	0.451700589315091	0.764215212079295	0.808369013907341	0.52782999665525			2.0	-0.0151020271996792	0.963257176400296	-0.0208494777160017	0.936425726070351	-0.0359515049156809	0.89706283302159	partial_or_other	True	False	False	False	False	False	False		0	cross_species_direction_conflict
GTF3C2	0.179810756591778	0.243688756903957	0.642250060235767	0.137277762411303	0.373521254194408	0.711968837980936						-0.307925853101787	0.375426970782584	-0.520704567828054	0.0909973588817321	-0.828630420929841	0.0214221652310329	partial_or_other	True	False	False	False	False	False	False		0	cross_species_direction_conflict
ALG5	0.242183294071616	0.24382641042575	0.642250060235767	0.334074390521661	0.106658567392463	0.483261130274234						-0.071377523776154	0.834981566938799	0.0693212857649943	0.785358527720079	-0.0020562380111596	0.995383082538173	partial_or_other	True	False	False	False	False	False	False		0	cross_species_direction_conflict
EXD3	-0.230174835933209	0.243904583818972	0.642250060235767	-0.244471465380413	0.214074577145734	0.587064775455755													False	False	False	False	False	False	False		0	insufficient_or_context_specific
FAM157C	-0.309582879122339	0.244083394965018	0.642250060235767	-0.540503204887633	0.03411306448617	0.376543096535729													False	False	False	False	False	False	False		0	insufficient_or_context_specific
CRLF1	1.08799147199775	0.244112275673265	0.642250060235767	1.06704451896958	0.253425144695524	0.618991529980024				0.0918460885527829	1.0								True	False	False	False	False	False	False		0	insufficient_or_context_specific
ZCCHC14	-0.296975840858812	0.244599550129671	0.642250060235767	-0.0232930442958317	0.928176104736561	0.979087152943213						0.312215162598736	0.258840084741288	-0.286844692314317	0.231818483287446	0.0253704702844194	0.931807716855015	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
UVSSA	-0.329888145053909	0.244752463865278	0.642250060235767	-0.259693465006091	0.361041812650858	0.703177809506737		0.389871170199907			1.0	0.0570973936472918	0.895126810967348	-0.372261540785991	0.206633324845706	-0.315164147138699	0.319843724086639	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
EDA	-0.392098235174283	0.244757289912711	0.642250060235767	-0.465295023734118	0.168159279983568	0.547801813658289		0.3300420756469289			1.0	-0.320071570888793	0.603562155863719	0.483786743591369	0.283977037318444	0.163715172702576	0.768255846359741	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
ZNF708	0.184787714723971	0.244830058592487	0.642250060235767	0.0645273695668278	0.689995673806304	0.885210584988815													True	False	False	False	False	False	False		0	insufficient_or_context_specific
SEC61B	-0.303980886151617	0.245013136184395	0.642250060235767	-0.209868693383384	0.427560854160914	0.747680419889399													False	False	False	False	False	False	False		0	insufficient_or_context_specific
KIAA1586	0.336773298841771	0.245059821285956	0.642250060235767	0.107373388260231	0.71552209347512	0.897313488883515													True	False	False	False	False	False	False		0	insufficient_or_context_specific
ZNF714	0.365603155051136	0.245076147614261	0.642250060235767	0.248782714921588	0.433130152903066	0.751350456611089													True	False	False	False	False	False	False		0	insufficient_or_context_specific
ZNF341	-0.361270288331097	0.245129498785154	0.642250060235767	-0.158940594156895	0.625261734336107	0.856338486330344	0.5401620275495159				1.0								False	False	False	False	False	False	False		0	insufficient_or_context_specific
ALDH2	-0.345408814851797	0.245265782691916	0.642250060235767	-0.413631598627953	0.161983318649524	0.543541307772207	1.11485902291973	0.326294042322524			2.0	-0.697010187409643	0.174631956574193	1.41906639866301	0.00988721813255	0.72205621125337	0.131027427451444	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
BRD1	-0.183435128853875	0.245365101919985	0.642250060235767	-0.199518181473881	0.205439127177251	0.578666837313374		0.4490705070630029	0.0033848992927934		2.0	-0.288476723260543	0.26778031421187	-0.313385754138434	0.171404608640216	-0.601862477398976	0.0254654852501922	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
WRN	0.180652017050886	0.245408404491563	0.642250060235767	0.181396369557218	0.242353115340871	0.608939598231536			0.102115301736441		1.0	-0.371182388837411	0.22024511177881	-0.175655680451373	0.510534817220074	-0.546838069288784	0.0637592023533788	partial_or_other	True	False	False	False	False	False	False		0	cross_species_direction_conflict
BACH1	0.255280675369996	0.245415331225664	0.642250060235767	0.504048329975727	0.0096772319003664	0.300429821921613				0.103455752163627	1.0	-0.501085950743197	0.0674209734718208	0.0803005775297859	0.75237983630296	-0.420785373213412	0.10017777987315	partial_or_other	True	False	False	False	False	False	False		0	cross_species_direction_conflict
RRAGB	0.196793339205413	0.245529941129243	0.642250060235767	0.2176949353306	0.196017728472172	0.571700325195908				0.062679997418394	1.0								True	False	False	False	False	False	False		0	insufficient_or_context_specific
RPL30	0.356283748523925	0.24553666038718	0.642250060235767	0.482911287445685	0.121586013435878	0.503485437181972													True	False	False	False	False	False	False		0	insufficient_or_context_specific
ADGRG2	0.452770028556273	0.245573356049611	0.642250060235767	0.731366800128163	0.0570360776667633	0.424455207563489				0.0125790463743943	1.0								True	False	False	False	False	False	False		0	insufficient_or_context_specific
EIF2AK3	0.349640753010298	0.246899705049655	0.645192517153539	0.435160253569684	0.146331785897838	0.532796338690088						-0.367998455295605	0.208749546136599	-0.712342921726462	0.0170123406083983	-1.08034137702207	0.0040675846606289	partial_or_other	True	False	False	False	False	False	False		0	cross_species_direction_conflict
SLFN12L	0.525557023650571	0.246982280604633	0.645192517153539	0.375423271263209	0.409069043050937	0.734857324041122		0.8773678827604949			1.0								True	False	False	False	False	False	False		0	insufficient_or_context_specific
SLC6A1	-0.486321805258357	0.247162631785788	0.645192517153539	-0.490885262595403	0.24328913983529	0.609898739043611				0.0252422971328644	1.0								False	False	False	False	False	False	False		0	insufficient_or_context_specific
ERRFI1	-0.760447608785736	0.247343678649718	0.645192517153539	-1.00959809248635	0.121671915788388	0.503485437181972	0.5919877808391999	0.310993051818004			2.0	-1.20509832186137	0.0188475282122586	0.989619081263166	0.0332682484011331	-0.215479240598204	0.644387650688514	reversed	False	False	False	False	False	False	False		0	insufficient_or_context_specific
SKIV2L	-0.383498078316986	0.24735581566633	0.645192517153539	-0.0720267637722913	0.836566306694973	0.947349959049485				0.0120029254898496	1.0	-0.410454844443808	0.0837767198695085	-0.634865103442206	0.0109043613003895	-1.04531994788601	0.002310693597717	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
ING3	-0.237222244075783	0.247389240295602	0.645192517153539	-0.23392068831723	0.253708686646561	0.618991529980024		1.39932844513903			1.0	0.351993049322618	0.437516317519058	-0.0589618387498572	0.882622588192181	0.29303121057276	0.472621933640747	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
UBE3D	0.269731764293785	0.247404811182376	0.645192517153539	0.269327261874149	0.248539082237912	0.614215233681543													True	False	False	False	False	False	False		0	insufficient_or_context_specific
C6	-0.503126942849039	0.247583111012124	0.645427774337285	-0.637234105187357	0.141337065553383	0.526923646040233	0.293724249563619				1.0	-1.24971275503443	0.0091946892558076	1.35844096269781	0.0052957799191449	0.10872820766338	0.802978348889929	reversed	False	False	False	False	False	False	False		0	insufficient_or_context_specific
ZIC1	-0.936259261504744	0.247687080620484	0.645539421671455	-1.05202320007364	0.189591536601824	0.569886897607216													False	False	False	False	False	False	False		0	insufficient_or_context_specific
DCAF12	0.282237698779697	0.247872001282398	0.645830652836786	-0.0362802436587783	0.88294311266323	0.962778177759102						0.333013793582335	0.215523422767541	-0.250506513796155	0.276707199013225	0.0825072797861799	0.764955024086208	partial_or_other	False	False	False	False	False	False	False		0	insufficient_or_context_specific
