domain	analyte	endpoint	transform	n_available	n_keys	median_raw	iqr_raw	spearman_rho	spearman_p	analysis_status	adjusted_n	adjusted_n_keys	beta_per_SD	ci_low	ci_high	p_value	model_status	q_value_BH	section	marker_or_phenotype	n_observed	n_positive	proportion	interpretation
LIS	MONO	log_LSM	log1p	121.0	121.0	0.42	0.21	0.0736852703177422	0.4218491570654838	model_candidate	121.0	121.0	0.0383272000838038	-0.0219475567195138	0.0986019568871214	0.2126573076519226	fit_HC3	0.3623050426662385	models					
LIS	NEU	CAP_dB_per_m	log1p	121.0	121.0	3.3	1.5200000000000005	0.2535581945692538	0.0050129420447028	model_candidate	121.0	121.0	4.025047543403375	0.6170566817657268	7.433038405041023	0.0206217758249494	fit_HC3	0.0592876054967295	models					
LIS	NEU	log_LSM	log1p	121.0	121.0	3.3	1.5200000000000005	0.1498912727163492	0.1008028084637683	model_candidate	121.0	121.0	0.0298302003436881	-0.0228440319356508	0.0825044326230271	0.2670176750616134	fit_HC3	0.4386718947440792	models					
LIS	PIIINP	CAP_dB_per_m	log1p	82.0	82.0	7.915	4.722499999999999	0.1881812591742896	0.0904449535712347	model_candidate	82.0	82.0	-0.0489792549524719	-5.109412955889984	5.0114544459850405	0.9848648565984984	fit_HC3	0.9848648565984984	models					
LIS	PIIINP	log_LSM	log1p	82.0	82.0	7.915	4.722499999999999	0.1441562046132716	0.1963188951343121	model_candidate	82.0	82.0	-0.0098381602659129	-0.0669223621249289	0.047246041593103	0.7355218786410467	fit_HC3	0.8458501604372037	models					
LIS	PLT	CAP_dB_per_m	identity	121.0	121.0	183.0	68.0	0.1909158968176021	0.0359395570069767	model_candidate	121.0	121.0	5.164923073865241	2.1594845804293867	8.170361567301095	0.000756474240002	fit_HC3	0.0038664238933438	models					
LIS	PLT	log_LSM	identity	121.0	121.0	183.0	68.0	-0.171459154485529	0.0600503421881035	model_candidate	121.0	121.0	-0.0362045415547537	-0.1802802959905631	0.1078712128810556	0.6223546960303079	fit_HC3	0.7533767372998463	models					
LIS	PT	CAP_dB_per_m	log1p	10.0	10.0	12.05	1.3999999999999986	-0.085106776115209	0.815171544541529	model_candidate	10.0	10.0					insufficient_n		models					
LIS	PT	log_LSM	log1p	10.0	10.0	12.05	1.3999999999999986	0.2735574946560291	0.4443991414688369	model_candidate	10.0	10.0					insufficient_n		models					
LIS	TBIL	CAP_dB_per_m	log1p	44.0	44.0	17.4	6.675000000000001	0.0422832980972515	0.7852198374535636	model_candidate	44.0	44.0	-0.2903071897722213	-4.962932356640869	4.3823179770964265	0.9030801448235244	fit_HC3	0.9231485924862696	models					
LIS	TBIL	log_LSM	log1p	44.0	44.0	17.4	6.675000000000001	0.1417899929527836	0.3585652541295324	model_candidate	44.0	44.0	0.0419112560541703	-0.0729612859142826	0.1567837980226233	0.4745515696033739	fit_HC3	0.6614961273259152	models					
LIS	WBC	CAP_dB_per_m	log1p	121.0	121.0	5.89	2.119999999999999	0.2824200465299347	0.0016980161148473	model_candidate	121.0	121.0	5.239074248994485	1.7032559290207177	8.774892568968252	0.0036830156460168	fit_HC3	0.0169418719716775	models					
LIS	WBC	log_LSM	log1p	121.0	121.0	5.89	2.119999999999999	0.068450788202488	0.4556561966603612	model_candidate	121.0	121.0	0.0141133175154254	-0.0405603442879101	0.0687869793187609	0.6128987505470365	fit_HC3	0.7533767372998463	models					
LIS	anti_HCV	CAP_dB_per_m	identity	51.0	51.0	0.01	0.0049999999999999	-0.3111889152996814	0.0262327685608221	marker_registry_only									models					
LIS	anti_HCV	log_LSM	identity	51.0	51.0	0.01	0.0049999999999999	0.0208700374555516	0.884424504180054	marker_registry_only									models					
LIS	LIS_HDL	CAP_dB_per_m	identity	198.0	198.0	1.165	0.3499999999999998	-0.2984688460311409	1.946030591005601e-05	model_candidate	198.0	198.0	-1.8304438806054424	-5.175305048798509	1.5144172875876238	0.2834632403768088	fit_HC3	0.4496313468045933	models					
LIS	LIS_HDL	log_LSM	identity	198.0	198.0	1.165	0.3499999999999998	0.0073065412240825	0.9186276521292992	model_candidate	198.0	198.0	0.0497692955842293	0.0097167248597	0.0898218663087585	0.0148732866449657	fit_HC3	0.0526285527437248	models					
LIS	LIS_LDL	CAP_dB_per_m	identity	198.0	198.0	2.82	0.9925000000000002	0.0899123680726448	0.207769776807252	model_candidate	198.0	198.0	1.9259817170331808	-0.8658737046979523	4.717837138764314	0.1763448070395954	fit_HC3	0.3526896140791908	models					
LIS	LIS_LDL	log_LSM	identity	198.0	198.0	2.82	0.9925000000000002	0.0145704184825799	0.8385592938974098	model_candidate	198.0	198.0	0.0112890600220996	-0.0293113453488992	0.0518894653930984	0.5857716411693479	fit_HC3	0.7484859859386112	models					
LIS	LIS_TC	CAP_dB_per_m	identity	198.0	198.0	4.865	1.2300000000000004	0.0464156678427811	0.5161179016859487	model_candidate	198.0	198.0	1.3928813578991208	-1.4485575486524238	4.234320264450665	0.3366628633638632	fit_HC3	0.4995642488625066	models					
